iLat;iLon;stops;services;route_segments;puntos
62;44;PG1745/PG1790/PG702/PG703/PG728/PT0110/PT0210;211I/211R/G02I/G02R/G07I/G07R/G08vI/G08vR/MTNI/MTNR/MTRI/MTRR;41-42-43-44/2-3/13-14-15-16-21-22-23-24-25-26/7-8-9-10-11-12-13/29-30-31/11-12-13/0-1-2/35-36-37-38/10-11/0/11/39;2089
62;45;PG1628/PG1629/PG1751;G02I/G02R;26/7;60
62;46;PG1752/PG725;G02I/G02R;26-27/6-7;
62;47;;G02I/G02R;27/6;
62;48;PG705/PG706/PG724;G02I/G02R;27/6;
62;49;PG707/PG722/PG723;G02I/G02R;27/6;
62;50;PG708/PG721;G02I/G02R;27-28/5-6;
62;51;PG709/PG720;G02I/G02R/G14I/G14R;28-29/4-5/15/3;
62;52;PG1212/PG1601/PG1603/PG1754/PG1755/PG710/PG719;G02I/G02R/G14I/G14R;29-30-31/2-3-4/15-16/2-3;
62;53;;G02I/G02R/G14I/G14R;31/2/16/2;
62;63;PF1122/PF1140/PG1918;207I/207R/207cR/207eI/207eR/209I/209R/209cR;28-29-30/0-1/0-1-29-30-31/22-23-24/0-1-2/28-29-30-31/0-1/0-1-35-36-37-38;
62;64;PF1109/PF1110;207I/207R/207cR/209I/209R/209cR/F18I/F18R;27-28/1-2-3/1-2-3-28-29/27-28/1-2/1-2-34-35/5-6/18-19;
62;65;PF1108;209I/209R/209cR/F18I/F18R;27/2/2-34/5/19;
62;66;PF710/PF742;209I/209R/209cR/F18I/F18R;27/2/2-34/4-5/19-20;896
62;67;;209I/209R/209cR/F10R/F10cI/F12cR/F13R/F13cR/F18R/F25R;24-27/2/2-31-34/25/33/24/28/24/22/47;
62;68;;209I/209R/209cR/213eI/213eR/F10I/F10R/F10cI/F12I/F12R/F12cI/F12cR/F13I/F13R/F13cI/F13cR/F15I/F15R/F18I/F18R/F25I/F25R/F25eI/F25eR;24-25-26-27/2-3-4-5/2-3-4-5-31-32-33-34/34-35-37-38-39-40/0-1/0-1-2/25-26-27-28/0-1-2-33-34-35-36/0-1-2/20-21-22-23/0-1-2/24-25-26-27/0-1-2/28-29-30-31/0-1-2/24-25-26-27/0-1-2/36-37-38-39/0-1-2/22-23-24-25/0-1-2/47-48-49-50/0-1-2/30-31-32-33;
62;69;;213eI/213eR;34/1-2;
62;72;;F12I/F12cI;11-12/21-22;
62;73;PF545;F02I/F12I/F12R;9-10-11/12-13/8-9;
63;21;;;;1968
63;42;;;;129/1984
63;43;;G08vI/G08vR;0/38-39;
63;44;;211I/211R/G02I/G02R/G07I/G07R/G08vI/G08vR/MTNI/MTNR/MTRI/MTRR;41/3/13/13/28-29/13/0-2/35-38/10/0/11/39;1381
63;45;PG1763/PG1764/PG699/PG700/PG729/PG730/PT0109/PT0209;211I/211R/G02I/G02R/G07I/G07R/G08vI/G08vR/MTNI/MTNR/MTRI/MTRR;40-41/3-4/12-13/13-14/28/13/2-3/34-35/10/0/10-11/39-40;1582/2088
63;46;PG1452;G08I/G08R;8/27;256
63;47;PG1443/PG1455/PG1582;G08I/G08R;8-9/26-27;
63;48;;G08I/G08R;9/26;1367
63;50;;G14I/G14R;13-14/4-5;
63;51;PG1211/PG1213/PG1600/PG1604;G14I/G14R;14-15/3-4;
