Codigo;Abreviacion;Nombre;Linea;Dias;Apertura Estacion;Apertura Boletaria;Cierre boleteria;Cierre Estacion;Destino 1;Primer Tren D1;Ultimo tren D1;Destino 2;Primer Tren D2;Ultimo tren D2;Expreso
36;JE;San José de la Estrella;L4;Lunes a Viernes;5:50;6:00;23:00;23:35;Plaza Puente Alto;6:09;23:42;Tobalaba;5:56;23:16;VERDE
49;LQ;Los Quillayes;L4;Lunes a Viernes;5:50;6:00;23:00;23:35;Plaza Puente Alto;6:12;23:45;Tobalaba;5:53;23:13;ROJA
22;EA;Elisa Correa;L4;Lunes a Viernes;5:45;6:00;23:00;23:40;Plaza Puente Alto;6:13;23:46;Tobalaba;5:51;23:11;VERDE/ROJA
34;HS;H. Sotero del Río;L4;Lunes a Viernes;5:45;6:00;23:00;23:40;Plaza Puente Alto;6:15;23:48;Tobalaba;5:50;23:10;VERDE/ROJA
66;PI;P. de La Infancia;L4;Lunes a Viernes;5:45;6:00;23:00;23:40;Plaza Puente Alto;6:17;23:50;Tobalaba;5:48;23:08;VERDE
56;ME;Las Mercedes;L4;Lunes a Viernes;5:40;6:00;23:00;23:45;Plaza Puente Alto;6:18;23:52;Tobalaba;5:46;23:06;ROJA
69;PPA;Plaza de P. Alto;L4;Lunes a Viernes;5:40;6:00;23:00;23:45;Plaza Puente Alto;-;-;Tobalaba;5:45;23:05;VERDE/ROJA
93;TB;Tobalaba;L4;Sábado;6:30;6:30;23:00;23:25;Plaza Puente Alto;6:30;23:15;Tobalaba;-;-;VERDE/ROJA
17;CO;Cristobal Colón;L4;Sábado;6:30;6:30;23:00;23:35;Plaza Puente Alto;6:32;23:16;Tobalaba;6:35;23:41;VERDE
8;BI;Francisco Bilbao;L4;Sábado;6:30;6:30;23:00;23:35;Plaza Puente Alto;6:33;23:18;Tobalaba;6:33;23:40;VERDE/ROJA
30;GA;P. de Gales;L4;Sábado;6:30;6:30;23:00;23:30;Plaza Puente Alto;6:35;23:20;Tobalaba;6:31;23:37;ROJA
86;SB;Simón Bolívar;L4;Sábado;6:30;6:30;23:00;23:30;Plaza Puente Alto;6:31;23:22;Tobalaba;6:35;23:36;VERDE
